game	inning	pitcher	hitter	hit	type	x	y
7	Bottom	Michael Tonkin	Austin Jackson	O	Pop Out	113.45	105.42
7	Bottom	Michael Tonkin	Don Kelly	O	Lineout	91.37	69.28
8	Top	Joba Chamberlain	Eduardo Nunez	O	Flyout	42.17	84.34
8	Top	Joba Chamberlain	Eduardo Escobar	H	Double	212.85	99.4
8	Bottom	Jared Burton	Nick Castellanos	H	Double	93.37	59.24
8	Bottom	Jared Burton	Alex Avila	O	Flyout	95.38	61.24
8	Bottom	Jared Burton	Andrew Romine	O	Groundout	133.53	182.73
8	Bottom	Jared Burton	Ian Kinsler	O	Flyout	120.48	63.25
9	Top	Phil Coke	Danny Santana	H	Single	78.31	86.35
9	Top	Phil Coke	Brian Dozier	O	Groundout	145.58	167.67
9	Top	Phil Coke	Kurt Suzuki	O	Flyout	161.65	75.3
1	Top	Zack Greinke	Angel Pagan	O	Groundout	151.61	163.65
1	Top	Zack Greinke	Hunter Pence	H	Double	174.7	142.57
1	Top	Zack Greinke	Buster Posey	H	Single	154.62	104.42
1	Bottom	Matt Cain	Dee Gordon	H	Single	159.64	98.39
1	Bottom	Matt Cain	Matt Kemp	O	Lineout	161.65	94.38
2	Top	Zack Greinke	Brandon Crawford	H	Single	103.41	97.39
2	Top	Zack Greinke	Matt Cain	O	Bunt Groundout	113.45	181.73
2	Top	Zack Greinke	Angel Pagan	O	Flyout	166.67	96.39
2	Top	Zack Greinke	Hunter Pence	O	Flyout	112.45	90.36
2	Top	Zack Greinke	Buster Posey	H	Single	159.64	99.4
2	Bottom	Matt Cain	Carl Crawford	O	Flyout	91.37	96.39
2	Bottom	Matt Cain	Drew Butera	O	Flyout	166.67	96.39
3	Top	Zack Greinke	Pablo Sandoval	E	Field Error	107.43	166.67
3	Top	Zack Greinke	Brandon Crawford	O	Flyout	93.37	92.37
3	Top	Zack Greinke	Brandon Hicks	O	Groundout	111.45	167.67
3	Bottom	Matt Cain	Dee Gordon	O	Groundout	130.52	181.73
3	Bottom	Matt Cain	Yasiel Puig	O	Groundout	109.44	160.64
4	Top	Zack Greinke	Angel Pagan	O	Flyout	91.37	104.42
4	Top	Zack Greinke	Hunter Pence	O	Groundout	109.44	158.63
4	Bottom	Matt Cain	Adrian Gonzalez	H	Single	140.56	132.53
4	Bottom	Matt Cain	Matt Kemp	O	Groundout	108.43	158.63
4	Bottom	Matt Cain	Carl Crawford	O	Lineout	111.45	89.36
5	Top	Zack Greinke	Michael Morse	H	Single	89.36	104.42
5	Top	Zack Greinke	Pablo Sandoval	O	Groundout	122.49	176.71
5	Bottom	Matt Cain	Chone Figgins	O	Lineout	117.47	149.6
5	Bottom	Matt Cain	Zack Greinke	O	Pop Out	173.69	143.57
6	Top	Zack Greinke	Brandon Crawford	O	Flyout	82.33	107.43
6	Bottom	Matt Cain	Yasiel Puig	H	Single	95.38	118.47
6	Bottom	Jeremy Affeldt	Adrian Gonzalez	O	Groundout	146.59	155.62
6	Bottom	Jeremy Affeldt	Matt Kemp	H	Single	81.33	104.42
6	Bottom	Jeremy Affeldt	Carl Crawford	O	Groundout	108.43	158.63
7	Top	Zack Greinke	Angel Pagan	O	Lineout	138.55	90.36
7	Top	Zack Greinke	Hunter Pence	O	Groundout	126.51	178.71
7	Top	Zack Greinke	Buster Posey	H	Single	117.47	89.36
7	Top	Zack Greinke	Hector Sanchez	O	Groundout	101.41	165.66
7	Bottom	Jeremy Affeldt	Drew Butera	H	Double	169.68	66.27
7	Bottom	Jeremy Affeldt	Justin Turner	O	Groundout	141.57	153.61
7	Bottom	Jeremy Affeldt	Dee Gordon	H	Double	59.24	125.5
7	Bottom	Jean Machi	Yasiel Puig	H	Double	31.12	98.39
7	Bottom	Jean Machi	Adrian Gonzalez	O	Lineout	115.46	56.22
8	Top	Brian Wilson	Pablo Sandoval	H	Single	110.44	85.34
8	Top	Brian Wilson	Brandon Hicks	H	Single	79.32	110.44
8	Top	Brian Wilson	Hunter Pence	O	Pop Out	118.47	214.86
8	Bottom	Juan Gutierrez	Matt Kemp	H	Home Run	197.79	51.2
8	Bottom	Juan Gutierrez	Carl Crawford	H	Single	75.3	109.44
8	Bottom	Juan Gutierrez	Andre Ethier	O	Groundout	146.59	163.65
8	Bottom	Juan Gutierrez	Drew Butera	O	Flyout	137.55	82.33
8	Bottom	Juan Gutierrez	Justin Turner	O	Pop Out	110.44	167.67
9	Top	Chris Perez	Buster Posey	O	Flyout	188.76	149.6
9	Top	Chris Perez	Hector Sanchez	O	Groundout	150.6	166.67
1	Top	Miguel Gonzalez	Jose Altuve	O	Flyout	159.64	67.27
1	Top	Miguel Gonzalez	Dexter Fowler	O	Groundout	110.44	179.72
1	Bottom	Collin McHugh	Nick Markakis	H	Single	151.61	84.34
1	Bottom	Collin McHugh	Manny Machado	O	Groundout	107.43	169.68
1	Bottom	Collin McHugh	Nelson Cruz	H	Single	170.68	119.48
2	Top	Miguel Gonzalez	Matt Dominguez	O	Groundout	97.39	170.68
2	Top	Miguel Gonzalez	Alex Presley	O	Pop Out	148.59	141.57
2	Top	Miguel Gonzalez	George Springer	H	Home Run	51.2	54.22
2	Top	Miguel Gonzalez	Chris Carter	O	Pop Out	128.51	149.6
2	Bottom	Collin McHugh	Matt Wieters	O	Groundout	137.55	154.62
2	Bottom	Collin McHugh	J.J. Hardy	O	Pop Out	99.4	130.52
2	Bottom	Collin McHugh	Steve Clevenger	H	Single	73.29	111.45
2	Bottom	Collin McHugh	Jonathan Schoop	O	Groundout	105.42	157.63
3	Top	Miguel Gonzalez	Marc Krauss	O	Pop Out	93.37	204.82
3	Top	Miguel Gonzalez	Jonathan Villar	H	Single	85.34	83.33
3	Top	Miguel Gonzalez	Jonathan Villar	E	Error	85.34	83.33
3	Top	Miguel Gonzalez	Dexter Fowler	H	Single	83.33	122.49
3	Top	Miguel Gonzalez	Matt Dominguez	O	Pop Out	145.58	142.57
3	Bottom	Collin McHugh	Nick Markakis	O	Flyout	152.61	49.2
3	Bottom	Collin McHugh	Manny Machado	O	Groundout	138.55	155.62
4	Top	Miguel Gonzalez	Alex Presley	O	Pop Out	113.45	141.57
4	Top	Miguel Gonzalez	Chris Carter	O	Flyout	141.57	107.43
4	Bottom	Collin McHugh	Adam Jones	O	Flyout	192.77	83.33
4	Bottom	Collin McHugh	J.J. Hardy	O	Flyout	192.77	87.35
5	Top	Miguel Gonzalez	Jonathan Villar	O	Bunt Groundout	124.5	186.75
5	Top	Miguel Gonzalez	Jose Altuve	H	Single	77.31	126.51
5	Top	Miguel Gonzalez	Jason Castro	O	Groundout	154.62	143.57
5	Bottom	Collin McHugh	Steve Clevenger	O	Groundout	141.57	155.62
5	Bottom	Collin McHugh	Jonathan Schoop	O	Groundout	101.41	175.7
5	Bottom	Collin McHugh	Nick Markakis	O	Groundout	140.56	150.6
6	Top	Miguel Gonzalez	Matt Dominguez	H	Single	120.48	87.35
6	Top	Miguel Gonzalez	George Springer	H	Double	31.12	112.45
6	Top	Miguel Gonzalez	Chris Carter	O	Pop Out	157.63	155.62
6	Top	Miguel Gonzalez	Marc Krauss	O	Groundout	147.59	173.69
6	Bottom	Collin McHugh	Manny Machado	O	Pop Out	151.61	139.56
6	Bottom	Collin McHugh	Adam Jones	H	Home Run	153.61	26.1
6	Bottom	Collin McHugh	Matt Wieters	O	Groundout	140.56	155.62
7	Top	Miguel Gonzalez	Jose Altuve	O	Groundout	144.58	151.61
7	Top	Miguel Gonzalez	Dexter Fowler	O	Groundout	112.45	162.65
7	Bottom	Collin McHugh	J.J. Hardy	H	Single	81.33	108.43
7	Bottom	Collin McHugh	Steve Clevenger	H	Single	127.51	187.75
7	Bottom	Collin McHugh	Steve Pearce	H	Single	132.53	101.41
7	Bottom	Collin McHugh	Jonathan Schoop	O	Groundout	102.41	172.69
7	Bottom	Tony Sipp	Nick Markakis	O	Groundout	149.6	168.67
8	Top	Zach Britton	Jason Castro	H	Single	74.3	119.48
8	Top	Zach Britton	Matt Dominguez	O	Groundout	108.43	159.64
8	Top	Zach Britton	L.J. Hoes	O	Groundout	139.56	147.59
8	Bottom	Josh Zeid	Nelson Cruz	H	Home Run	96.39	22.09
8	Bottom	Josh Zeid	Adam Jones	O	Flyout	39.16	74.3
8	Bottom	Josh Zeid	Matt Wieters	O	Flyout	121.49	66.27
8	Bottom	Josh Zeid	J.J. Hardy	O	Flyout	116.47	86.35
9	Top	Tommy Hunter	Chris Carter	H	Single	79.32	120.48
9	Top	Tommy Hunter	Marc Krauss	H	Double	211.85	92.37
9	Top	Tommy Hunter	Jonathan Villar	O	Groundout	134.54	168.67
9	Top	Tommy Hunter	Jose Altuve	H	Single	145.58	99.4
9	Top	Troy Patton	Jason Castro	O	Flyout	57.23	130.52
9	Bottom	Anthony Bass	Steve Clevenger	O	Groundout	115.46	171.69
9	Bottom	Anthony Bass	Steve Pearce	O	Flyout	71.29	116.47
9	Bottom	Anthony Bass	Jonathan Schoop	H	Single	118.47	171.69
9	Bottom	Anthony Bass	Nick Markakis	H	Single	83.33	90.36
9	Bottom	Anthony Bass	Delmon Young	H	Single	126.51	141.57
9	Bottom	Anthony Bass	Adam Jones	O	Pop Out	144.58	152.61
10	Top	Ryan Webb	Matt Dominguez	H	Single	183.73	113.45
10	Top	Ryan Webb	L.J. Hoes	O	Bunt Groundout	129.52	195.78
10	Bottom	Paul Clemens	Matt Wieters	O	Groundout	127.51	180.72
10	Bottom	Paul Clemens	J.J. Hardy	H	Single	100.4	154.62
10	Bottom	Paul Clemens	Steve Clevenger	H	Double	216.87	105.42
1	Top	Edinson Volquez	Matt Holliday	O	Flyout	178.71	82.33
1	Bottom	Lance Lynn	Jose Tabata	O	Groundout	108.43	161.65
1	Bottom	Lance Lynn	Josh Harrison	O	Groundout	94.38	165.66
1	Bottom	Lance Lynn	Neil Walker	O	Groundout	125.5	176.71
2	Top	Edinson Volquez	Allen Craig	H	Single	78.31	105.42
2	Top	Edinson Volquez	Mark Ellis	H	Single	122.49	94.38
2	Top	Edinson Volquez	Tony Cruz	O	Groundout	98.39	161.65
2	Top	Edinson Volquez	Matt Carpenter	O	Flyout	110.44	70.28
2	Bottom	Lance Lynn	Starling Marte	O	Groundout	103.41	148.59
2	Bottom	Lance Lynn	Ike Davis	H	Double	210.84	90.36
2	Bottom	Lance Lynn	Tony Sanchez	H	Single	108.43	169.68
2	Bottom	Lance Lynn	Edinson Volquez	O	Groundout	144.58	152.61
3	Top	Edinson Volquez	Matt Holliday	O	Groundout	101.41	152.61
3	Top	Edinson Volquez	Matt Adams	O	Pop Out	75.3	176.71
3	Bottom	Lance Lynn	Jose Tabata	H	Single	92.37	92.37
3	Bottom	Lance Lynn	Josh Harrison	H	Single	78.31	107.43
3	Bottom	Lance Lynn	Neil Walker	O	Groundout	146.59	149.6
3	Bottom	Lance Lynn	Pedro Alvarez	O	Pop Out	93.37	184.74
3	Bottom	Lance Lynn	Starling Marte	O	Groundout	111.45	177.71
4	Top	Edinson Volquez	Mark Ellis	O	Groundout	102.41	152.61
4	Top	Edinson Volquez	Tony Cruz	O	Groundout	129.52	179.72
4	Bottom	Lance Lynn	Ike Davis	H	Single	80.32	113.45
4	Bottom	Lance Lynn	Jordy Mercer	H	Single	82.33	120.48
4	Bottom	Lance Lynn	Edinson Volquez	O	Groundout	106.43	153.61
4	Bottom	Lance Lynn	Jose Tabata	O	Groundout	132.53	141.57
4	Bottom	Lance Lynn	Josh Harrison	H	Single	125.5	175.7
4	Bottom	Lance Lynn	Neil Walker	H	Single	118.47	92.37
4	Bottom	Lance Lynn	Pedro Alvarez	H	Single	131.53	86.35
5	Top	Edinson Volquez	Lance Lynn	O	Groundout	117.47	146.59
5	Top	Edinson Volquez	Matt Carpenter	O	Groundout	102.41	162.65
5	Top	Edinson Volquez	Jhonny Peralta	H	Single	136.55	86.35
5	Top	Edinson Volquez	Matt Holliday	H	Single	116.47	102.41
5	Top	Jared Hughes	Matt Adams	O	Groundout	144.58	149.6
5	Bottom	Lance Lynn	Jared Hughes	O	Groundout	136.55	175.7
6	Top	Jared Hughes	Mark Ellis	O	Groundout	101.41	165.66
6	Top	Jared Hughes	Peter Bourjos	O	Groundout	103.41	163.65
6	Top	Jared Hughes	Tony Cruz	O	Groundout	125.5	177.71
6	Bottom	Lance Lynn	Jose Tabata	O	Lineout	188.76	113.45
6	Bottom	Lance Lynn	Josh Harrison	O	Flyout	179.72	88.35
7	Top	Justin Wilson	Matt Carpenter	H	Single	86.35	103.41
7	Top	Bryan Morris	Allen Craig	O	Groundout	131.53	180.72
7	Bottom	Kevin Siegrist	Pedro Alvarez	O	Pop Out	75.3	136.55
7	Bottom	Kevin Siegrist	Gaby Sanchez	H	Single	124.5	84.34
8	Top	Tony Watson	Matt Adams	H	Double	49.2	61.24
8	Top	Tony Watson	Tony Cruz	O	Groundout	103.41	153.61
8	Bottom	Seth Maness	Jordy Mercer	O	Flyout	149.6	41.16
8	Bottom	Seth Maness	Clint Barmes	H	Single	168.67	111.45
8	Bottom	Seth Maness	Jose Tabata	O	Groundout	124.5	178.71
9	Top	Mark Melancon	Daniel Descalso	H	Single	181.73	109.44
9	Top	Mark Melancon	Matt Carpenter	O	Groundout	149.6	153.61
